Title,manga_id,# number tags,Tags,Review
0.000000001% Derenai Shiroi Neko (Light Novel),35689,3,"['Comedy', 'Light Novels', 'Romance']",0
0.2 Lux no Mahou no Shita de (Light Novel),39817,5,"['Fantasy', 'Light Novels', 'Mystery', 'Magic', 'School Life']",0
0-kyori kara no Hatsukoi Moyou (Light Novel),50046,2,"['Light Novels', 'Romance']",0
0-noushiya Minato (Light Novel),49565,4,"['Drama', 'Light Novels', 'Mystery', 'Supernatural']",0
100-en Shop Tenin ga Isekai Trip Shita Kekka. (Light Novel),27564,6,"['Action', 'Fantasy', 'Light Novels', 'Isekai', 'Person in a Strange World', 'Summoned Into Another World']",0
"100 Gold Shop ""Usagiya"" (Light Novel)",35691,2,"['Fantasy', 'Light Novels']",0
100 Nengo ni Majutsu Sho to Shite Tensei shita kedo Gendai Majutsushi wa Yowa Sugiru (Light Novel),95249,5,"['Action', 'Comedy', 'Fantasy', 'Light Novels', 'Magic']",0
"100-nengo ni Tenseishita Watashi, Zense no Juukishi ni Kyuukonsaremashita: Heika wa Watashi ga Moto Oujo da to Okizukidenai you desu (Light Novel)",74523,7,"['Fantasy', 'Light Novels', 'Romance', 'Nobility', 'Reincarnation', 'Royalty', 'Based on a Web Novel']",0
100-nen Hikikomotta Tensei Majo wa Isekai wo Jiyuu Kimama ni Tabi Shitai (Light Novel),92212,10,"['Action', 'Adventure', 'Fantasy', 'Light Novels', 'Isekai', 'Magic', 'Person in a Strange World', 'Reincarnation', 'Witches', 'Based on a Web Novel']",0
100-nichigo ni Shinu Akuyaku Reijou wa Mainichi ga Totemo Tanoshii. (Light Novel),72902,6,"['Comedy', 'Fantasy', 'Light Novels', 'Nobility', 'Villainess', 'Based on a Web Novel']",0
"100-nin no Eiyuu wo Sodateta Saikyou Yogensha wa, Boukensha ni Natte mo Sekaijuu no Deshi kara Shitawarete Masu (Light Novel)",43540,6,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Light Novels', 'Based on a Web Novel']",0
"100-oku Kai Tensei Shita Ore wa, Konoyo no Subete no Hasha to Nari Musou Suru (Light Novel)",66510,6,"['Action', 'Drama', 'Fantasy', 'Light Novels', 'Magic', 'Based on a Web Novel']",0
100 Ways Not to Fail in Another World (Light Novel),39376,7,"['Adventure', 'Fantasy', 'Light Novels', 'Crossdressing', 'Isekai', 'Person in a Strange World', 'Based on a Web Novel']",0
101-banme no Hyaku Monogatari (Light Novel),25245,6,"['Comedy', 'Ecchi', 'Harem', 'Light Novels', 'Romance', 'School Life']",0
101 Meter Hanareta Koi (Light Novel),52799,5,"['GL', 'Light Novels', 'Romance', 'Sci Fi', 'Yuri']",0
"108-kai Korosareta Akuyaku Reijou: Subete wo Omoidashita no de, Otome wa Ruby de Kiseki shimasu (Light Novel)",64800,5,"['Comedy', 'Fantasy', 'Light Novels', 'Reincarnation', 'Time Loop']",0
10-nenburi ni Saikai Shita Kuso Gaki wa Seijun Bishoujo JK ni Seichou Shiteita (Light Novel),79479,4,"['Comedy', 'Light Novels', 'Romance', 'Age Gap']",0
10-nengoshi no Hiki-NEET wo Yamete Gaishutsu shitara (Light Novel),20331,8,"['Adventure', 'Comedy', 'Fantasy', 'Light Novels', 'Isekai', 'NEET', 'Person in a Strange World', 'Based on a Web Novel']",0
"10-nenkan Shintai wo Nottorare Akujo ni Natteita Watashi ni, Nidoto Kao wo Miseru na to Konyakuhaki Shitekita Kishi-sama ga Kyou mo Sugattekuru (Light Novel)",82131,6,"['Comedy', 'Fantasy', 'Light Novels', 'Romance', 'Nobility', 'Based on a Web Novel']",0
10-sai no Hoken Taiiku (Light Novel),35697,5,"['Comedy', 'Ecchi', 'Light Novels', 'Romance', 'School Life']",0
10 Tokyo Warriors (Light Novel),100167,5,"['Action', 'Light Novels', 'Demons', 'Supernatural', 'Adapted to Anime']",0
12 Demons (Light Novel),27132,3,"['Light Novels', 'Demons', 'Supernatural']",0
1/2 Dual: Shi ni Sura Atai Shinai Kurenai (Light Novel),83675,4,"['Action', 'Drama', 'Light Novels', 'Sci Fi']",0
12 Furlong no Chikushou Dou (Light Novel),70471,6,"['Light Novels', 'Slice of Life', 'Sports', 'Horse Racing', 'Racing', 'Based on a Web Novel']",0
12-gatsu no Veronica (Light Novel),20573,5,"['Drama', 'Fantasy', 'Light Novels', 'Romance', 'Medieval']",0
12 no Jubaku: Bukiyou na Toshi no Sarenai (Light Novel),49458,2,"['Light Novels', 'Romance']",0
1/2 Undead Series (Light Novel),35712,2,"['Light Novels', 'Supernatural']",0
13-banme no Alice (Light Novel),35762,3,"['Action', 'Light Novels', 'Supernatural']",0
13-banme no Boku no Majo (Light Novel),35763,2,"['Fantasy', 'Light Novels']",0
"13-Banme no Teni-sha, Isekai de Kami wo Mezasu Skill “Item Zoushoku” wo Te ni Ireta Boku wa Saikyou Soubi Katate ni Isekai wo Mankitsu Suru (Light Novel)",56145,5,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Light Novels']",0
14-sai no Zamaa Musou (Light Novel),83177,9,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Light Novels', 'Gender Bender', 'Reincarnation', 'Revenge', 'Based on a Web Novel']",0
14-sai to Illustrator (Light Novel),23406,3,"['Comedy', 'Light Novels', 'Romance']",0
152-senchi 62-kilo no Koibito (Light Novel),55587,5,"['Drama', 'Light Novels', 'Romance', 'Coworkers', 'Adapted to Anime']",0
15-byou no Turn (Light Novel),89609,3,"['Drama', 'Light Novels', 'School Life']",0
15-sai Demo Ore no Yome! Kousai 0 Nichi Kekkon kara Hajimeru Shoten Sensou (Light Novel),63927,4,"['Comedy', 'Light Novels', 'Romance', 'Age Gap']",0
15x24 (Light Novel),35766,3,"['Drama', 'Light Novels', 'Mystery']",0
16:00 no Shoukan Mahou (Light Novel),35767,5,"['Comedy', 'Fantasy', 'Light Novels', 'Romance', 'Magic']",0
"16-nenkan Mahou ga Tsukaezu Ochikobore datta Ore ga, Kagakusha datta Zensei wo Omoida Shite Isekai Musou (Light Novel)",97829,5,"['Action', 'Fantasy', 'Light Novels', 'Magic', 'Based on a Web Novel']",0
17-banme no Higgs: Ijigen Sekai no Wakaki Ou (Light Novel),34442,3,"['Action', 'Fantasy', 'Light Novels']",0
18-kin Otome Game no Sekai de Harem Shuuchaku Saremashita (Light Novel),47521,4,"['Light Novels', 'Reverse Harem', 'Romance', 'Otome Game']",0
"1LDK, Soshite 2JK. (Light Novel)",45098,7,"['Comedy', 'Drama', 'Light Novels', 'Romance', 'Age Gap', 'Cohabitation', 'Salaryman']",0
1% (Light Novel),83365,2,"['Light Novels', 'Romance']",0
1 Percent no Kyoushitsu (Light Novel),60333,4,"['Light Novels', 'Mystery', 'Romance', 'School Life']",0
1 x 10 Fujimiya Tokiko wa Natsukanai (Light Novel),54169,4,"['Comedy', 'Light Novels', 'Romance', 'School Life']",0
"1 x ∞: Keikenchi 1 de Level Up Suru Ore wa, Saisoku de Isekai Saikyou ni Narimashita! (Light Novel)",96803,5,"['Adventure', 'Fantasy', 'Light Novels', 'Magic', 'Based on a Web Novel']",0
2030-nen no Game Kids (Light Novel),90933,3,"['Drama', 'Light Novels', 'Sci Fi']",0
2409 Kaime no Hatsukoi (Light Novel),101148,3,"['Drama', 'Light Novels', 'Romance']",0
2.43: Seiin Koukou Danshi Volley-bu (Light Novel),42715,8,"['Drama', 'Light Novels', 'Sports', 'Childhood Friends', 'School Club', 'School Life', 'Volleyball', 'Adapted to Anime']",0
29-sai Dokushin wa Isekai de Jiyuu ni Ikita......katta. (Light Novel),34592,17,"['Action', 'Adventure', 'Drama', 'Ecchi', 'Fantasy', 'Harem', 'Light Novels', 'Romance', 'Cheats', 'Isekai', 'Overpowered Main Characters', 'Person in a Strange World', 'Psychological', 'Based on a Web Novel', 'Mature Themes', 'Sexual Abuse', 'Violence']",1
29 to JK (Light Novel),24573,7,"['Comedy', 'Drama', 'Light Novels', 'Romance', 'Age Gap', 'Work Life', 'Writers']",0
2-nen B-gumi Series (Light Novel),81654,6,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Light Novels', 'Magic']",0
"2 Shurui no Status wo Motsu Sekai Saikyou no Ossan ga, Manamusume to Tanoshiku Bouken wo Suru Sou desu (Light Novel)",81610,4,"['Adventure', 'Fantasy', 'Light Novels', 'Magic']",0
2 Weeks (Light Novel),47762,3,"['Light Novels', 'Mystery', 'Supernatural']",0
30 Page de Loop Suru. Soshite Kimi wo Shi no Unmei kara Sukuu. (Light Novel),89846,6,"['Drama', 'Light Novels', 'Romance', 'Supernatural', 'Time Loop', 'Time Travel']",0
30-sai no Hoken Taiiku (Light Novel),58567,9,"['Comedy', 'Ecchi', 'Light Novels', 'Romance', 'Coworkers', 'Gods', 'Salaryman', 'Supernatural', 'Adapted to Anime']",0
30-sai Toshiue Koushaku no Gosai no Hazu ga Sono Musuko ni Dekiaisareru (Light Novel),96402,5,"['Fantasy', 'Light Novels', 'Romance', 'Nobility', 'Based on a Web Novel']",0
3/16 Jiken (Light Novel),48314,2,"['Action', 'Light Novels']",0
"32-sai, “Rule Book” Katate ni Isekai Kyuusei Kikou (Light Novel)",97585,4,"['Adventure', 'Fantasy', 'Light Novels', 'Magic']",0
34-sai Card Gamer Izumi Shinpei: Shinkin Eigyou wa Mahou Shoujo wo Karu (Light Novel),63949,6,"['Action', 'Comedy', 'Ecchi', 'Fantasy', 'Light Novels', 'Demons']",0
35-sai no Sentaku: Isekai Tensei wo Eranda Baai (Light Novel),66884,7,"['Action', 'Adventure', 'Ecchi', 'Fantasy', 'Harem', 'Light Novels', 'Based on a Web Novel']",0
37°C (Light Novel),31872,7,"['BL', 'Drama', 'Light Novels', 'Romance', 'Yaoi', 'Adult Couples', 'Mature Romance']",0
"384,403 km: Anata wo Tsuki ni Sarattara (Light Novel)",38459,4,"['Drama', 'GL', 'Light Novels', 'Shoujo-ai']",0
3-fun Seijo no Shiawase Gutara Seikatsu (Light Novel),80370,5,"['Comedy', 'Fantasy', 'Light Novels', 'Romance', 'Based on a Web Novel']",0
3-nen B-gumi: Necromancer-sensei (Light Novel),58223,3,"['Fantasy', 'Light Novels', 'School Life']",0
"3-nengo Rikon Suru Hazu ga, Binwan Doctor no Setsuai ni wa Aragaenai (Light Novel)",92022,3,"['Light Novels', 'Romance', 'Doctors']",0
3-punkan demo Ikemasu ka? Haruka Kanata no Chousen (Light Novel),46871,2,"['Ecchi', 'Light Novels']",0
40 Otoko to Bibou Nokanbu (Light Novel),98059,3,"['BL', 'Light Novels', 'Yaoi']",0
4-banme no Iinazuke Kouho (Light Novel),55591,4,"['Drama', 'Light Novels', 'Romance', 'Adapted to Anime']",0
"4-gatsu, Sore wa... (Light Novel)",24319,3,"['Light Novels', 'Slice of Life', 'Anthologies']",0
5 Centimeters per Second (Light Novel),26998,6,"['Drama', 'Light Novels', 'Romance', 'Slice of Life', 'Unrequited Love', 'Based on an Anime']",0
5 Centimeters per Second: one more side (Light Novel),34895,5,"['Drama', 'Light Novels', 'Romance', 'Unrequited Love', 'Based on an Anime']",0
5-fun de Yomeru Mune Kyun na Last no Monogatari (Light Novel),95705,4,"['Drama', 'Light Novels', 'Romance', 'Anthologies']",0
"6-bansen ni Haru wa Kuru. Soshite Kyou, Kimi wa Inakunaru. (Light Novel)",54436,4,"['Drama', 'Light Novels', 'Romance', 'School Life']",0
6 (Light Novel),58435,2,"['Light Novels', 'Mystery']",0
6-nenmae kara Ijiwaru Onzoushi ni Aisareppanashi desu (Light Novel),97298,4,"['Light Novels', 'Romance', 'Coworkers', 'Work Life']",0
"77 Sevens: And, two stars meet again (Light Novel)",88346,6,"['Ecchi', 'Fantasy', 'Light Novels', 'Romance', 'School Life', 'Based on a Video Game']",0
"7-byougo no Sakata-san to, Ore. (Light Novel)",48283,4,"['Comedy', 'Light Novels', 'Romance', 'School Life']",0
7th Dragon III UE72 Mikan no Yuuma (Light Novel),90582,6,"['Action', 'Fantasy', 'Light Novels', 'Game Elements', 'Guilds', 'Based on a Video Game']",0
7th Time Loop: The Villainess Enjoys a Carefree Life Married to Her Worst Enemy! (Light Novel),56455,12,"['Light Novels', 'Romance', 'Mature Romance', 'Medieval', 'Nobility', 'Political', 'Royalty', 'Second Chance', 'Time Loop', 'Time Travel', 'Adapted to Anime', 'Based on a Web Novel']",1
86: Eighty-Six - Alter. (Light Novel),89847,7,"['Action', 'Drama', 'Light Novels', 'Sci Fi', 'Military', 'War', 'Based on a Web Novel']",0
86: Eighty-Six (Light Novel),23361,7,"['Action', 'Drama', 'Light Novels', 'Sci Fi', 'Military', 'War', 'Adapted to Anime']",1
8-banme no Cafeteria Girl (Light Novel),32585,4,"['Comedy', 'Light Novels', 'Romance', 'School Life']",0
8-daime Maou wa FPS de Boukensha-domo wo Kill shitai (Light Novel),59800,3,"['Action', 'Fantasy', 'Light Novels']",0
8-gatsu 10-ka Series (Light Novel),48779,2,"['Light Novels', 'Romance']",0
8-ji kara 17 Toki made Meikyuu Tansaku de Kyuuryou Moraru Koto ni Natta Kaishain-tachi: Jikyuu 500 Tsubura Start!? (Light Novel),101090,3,"['Fantasy', 'Light Novels', 'Based on a Web Novel']",0
8-sai kara Hajimeru Mahougaku (Light Novel),75353,7,"['Drama', 'Fantasy', 'Light Novels', 'Isekai', 'Magic', 'Person in a Strange World', 'Based on a Web Novel']",0
"8th Loop for the Win! With Seven Lives' Worth of XP and the Third Princess's Appraisal Skill, My Behemoth and I Are Unstoppable! (Light Novel)",64768,5,"['Action', 'Adventure', 'Fantasy', 'Light Novels', 'Magic']",1
"990-nengo ni Fukkatsu Shita Sai Osore Maou, Jinrui Senmetsu wo Ketsui Suru. Tadashi Jinrui wa Eisei Shoujungata Laser Heiki de Machikamaeteimasu (Light Novel)",83960,5,"['Action', 'Comedy', 'Fantasy', 'Light Novels', 'Sci Fi']",0
99-banme no Kyuuketsuhime (Light Novel),23394,3,"['Light Novels', 'Supernatural', 'Vampires']",0
"9-dome no Jinsei, Seijo wo Yameyou to Omou no de Tekkoku Koutei ni Idakaremasu (Light Novel)",91993,5,"['Fantasy', 'Light Novels', 'Romance', 'Time Loop', 'Time Travel']",0
9-ji wo Sugitara (Light Novel),54578,3,"['BL', 'Light Novels', 'Yaoi']",0
9S (Light Novel),10648,4,"['Action', 'Light Novels', 'Sci Fi', 'Superpowers']",0
9S: memories (Light Novel),41039,2,"['Light Novels', 'Sci Fi']",0
9S SS (Light Novel),41040,3,"['Light Novels', 'Sci Fi', 'Superpowers']",0
9 Tails (Light Novel),58821,4,"['Action', 'Adventure', 'Fantasy', 'Light Novels']",0
√4: Uchi no Juunin wa Minna Ijou desu. (Light Novel),44807,4,"['Comedy', 'Light Novels', 'Romance', 'School Life']",0
Aakuma Detekuuru: Chikashitsu no Akuma (Light Novel),46484,4,"['Comedy', 'Light Novels', 'Romance', 'Supernatural']",0
"Aatotsugi wo Yadosu Tame, Oresama Onzoushi to Seiryaku Fuufu ni Narimashita: Toshiue Danna-sama no Torokeru hodo Amai Dekiai (Light Novel)",91910,2,"['Light Novels', 'Romance']",0
"Aa Yuusha, Kimi no Kurushimu Kao ga Mitainda (Light Novel)",52623,5,"['Adventure', 'Drama', 'Fantasy', 'Light Novels', 'Based on a Web Novel']",0
A Banished Odd-jobber Starts a New Life (Light Novel),39527,6,"['Adventure', 'Drama', 'Fantasy', 'Light Novels', 'Lifestyle Change', 'Based on a Web Novel']",0
Abnormal Love (Light Novel),54410,2,"['Light Novels', 'Romance']",0
A Boy Raised by Gods Will Be The Strongest (Light Novel),44239,6,"['Action', 'Adventure', 'Fantasy', 'Light Novels', 'Magic', 'Based on a Web Novel']",0
Absolute Duo (Light Novel),14952,8,"['Action', 'Ecchi', 'Fantasy', 'Harem', 'Light Novels', 'Romance', 'School Life', 'Adapted to Anime']",0
Abunai Sennyuu Shuzai: Kininaru Kare wa Kawaii Eromen (Light Novel),49886,2,"['Light Novels', 'Romance']",0
Abyss Calling: Moto Haikakin Gamer ga Saitei Saiaku no Soshage Isekai ni Shoukan Saretara (Light Novel),93481,6,"['Action', 'Adventure', 'Comedy', 'Light Novels', 'Trapped in a Video Game', 'Based on a Web Novel']",0
Abyss Gate (Light Novel),26194,4,"['Action', 'Adventure', 'Fantasy', 'Light Novels']",0
Abyss  (Light Novel),52767,5,"['Action', 'Drama', 'Fantasy', 'Light Novels', 'Based on a Web Novel']",0
A Cave King’s Road to Paradise: Climbing to the Top with My Almighty Mining Skills! (Light Novel),51412,8,"['Adventure', 'Fantasy', 'Light Novels', 'Island', 'Kingdom Building', 'Magic', 'Royalty', 'Based on a Web Novel']",0
Accel World (Light Novel),7969,10,"['Action', 'Adventure', 'Light Novels', 'Romance', 'Sci Fi', 'Game Elements', 'MMORPG', 'Virtual Reality', 'Adapted to Anime', 'Bullying']",0
"Accidentally in Love: The Witch, the Knight, and the Love Potion Slipup (Light Novel)",80277,6,"['Fantasy', 'Light Novels', 'Romance', 'Slice of Life', 'Witches', 'Based on a Web Novel']",0
Accomplishments of the Duke’s Daughter (Light Novel),18604,15,"['Fantasy', 'Light Novels', 'Romance', 'Economics', 'Isekai', 'Kingdom Building', 'Management', 'Modern Knowledge', 'Nobility', 'Otome Game', 'Person in a Strange World', 'Political', 'Reincarnation', 'Villainess', 'Based on a Web Novel']",2
Ace no Coach Hajimemashita (Light Novel),52509,3,"['Light Novels', 'Sports', 'Baseball']",0
A Certain Magical Index: Apocrypha Archive (Light Novel),12184,8,"['Action', 'Comedy', 'Light Novels', 'Mystery', 'Sci Fi', 'Collections', 'Russia', 'Supernatural']",0
A Certain Magical Index (Light Novel),4416,7,"['Action', 'Light Novels', 'Sci Fi', 'Magic', 'Supernatural', 'Superpowers', 'Adapted to Anime']",1
A Certain Magical Index: New Testament SS (Light Novel),17319,5,"['Action', 'Light Novels', 'Sci Fi', 'Egyptian Mythology', 'Supernatural']",0
A Certain Magical Index NT (Light Novel),11680,6,"['Action', 'Light Novels', 'Sci Fi', 'Magic', 'Superheroes', 'Supernatural']",0
A Certain Magical Index SP (Light Novel),11677,5,"['Action', 'Light Novels', 'Sci Fi', 'Magic', 'Supernatural']",0
A Certain Magical Index SS (Light Novel),11678,5,"['Comedy', 'Light Novels', 'Sci Fi', 'Magic', 'Supernatural']",0
A Certain Magical Index SS: Love Letter Soudatsusen (Light Novel),17318,5,"['Comedy', 'Light Novels', 'One Shot', 'Romance', 'Sci Fi']",0
A Certain Magical Virtual-On (Light Novel),22654,8,"['Action', 'Fantasy', 'Light Novels', 'Sci Fi', 'Crossover', 'Magic', 'Supernatural', 'Based on a Video Game']",0
A Certain Scientific Railgun (Light Novel),89612,8,"['Comedy', 'Light Novels', 'Sci Fi', 'Elemental Powers', 'Psychic Powers', 'School Life', 'Supernatural', 'Based on a Manga']",0
"A Certain Scientific Railgun SS: A Superfluous Story, or A Certain Incident’s End (Light Novel)",17317,3,"['Action', 'Light Novels', 'Sci Fi']",0
A Certain Vending Machine's Fanfare (Light Novel),14723,5,"['Action', 'Comedy', 'Light Novels', 'Sci Fi', 'Supernatural']",0
Ace Tairiku Chronicle: Shi ni Modori kara Hajimeru Shoshinsha Musou (Light Novel),97827,6,"['Adventure', 'Fantasy', 'Light Novels', 'Magic', 'Virtual Reality', 'Based on a Web Novel']",0
A Clockwork Ley-Line: Unmei no Mawaru Mori (Light Novel),46113,6,"['Drama', 'Fantasy', 'Light Novels', 'Romance', 'Based on an Eroge', 'Based on a Visual Novel']",0
A Couple of Cuckoos (Light Novel),65493,6,"['Comedy', 'Drama', 'Harem', 'Light Novels', 'Romance', 'Based on a Manga']",0
A Cozy Life in the Woods with the White Witch (Light Novel),81952,5,"['Fantasy', 'Light Novels', 'Magic', 'Witches', 'Based on a Web Novel']",0
Adabana no Tate Kurenai: Family Game (Light Novel),97469,3,"['Action', 'Drama', 'Light Novels']",0
Adachi and Shimamura 99.9 (Light Novel),93218,5,"['GL', 'Light Novels', 'Romance', 'Shoujo-ai', 'Psychological']",0
Adachi and Shimamura (Light Novel),18030,7,"['GL', 'Light Novels', 'Romance', 'Shoujo-ai', 'Psychological', 'School Life', 'Adapted to Anime']",1
Adachi and Shimamura: Short Stories (Light Novel),93217,6,"['GL', 'Light Novels', 'Romance', 'Shoujo-ai', 'Psychological', 'School Life']",0
Adam Head Dorothy (Light Novel),58875,3,"['Action', 'Fantasy', 'Light Novels']",0
Adam no Kenshin Eve no Koukotsu (Light Novel),44465,11,"['BL', 'Drama', 'Light Novels', 'Reverse Harem', 'Yaoi', 'Age Gap', 'Childhood Friends', 'Pregnancy', 'School Life', 'Student-Teacher Relationship', 'Explicit Sex']",0
Adam no Kyuukon Eve no Hanmon (Light Novel),44466,11,"['BL', 'Drama', 'Light Novels', 'Reverse Harem', 'Romance', 'Yaoi', 'Age Gap', 'Childhood Friends', 'School Life', 'Student-Teacher Relationship', 'Explicit Sex']",0
A Dark Rabbit Has Seven Lives: Kurenai Gekkou no Seitokaishitsu (Light Novel),57086,6,"['Comedy', 'Fantasy', 'Light Novels', 'School Life', 'Supernatural', 'Vampires']",0
A Dark Rabbit Has Seven Lives (Light Novel),6884,6,"['Fantasy', 'Light Novels', 'Romance', 'Curse', 'Supernatural', 'Adapted to Anime']",0
Adarushan Series (Light Novel),15223,7,"['Drama', 'Light Novels', 'Romance', 'Age Gap', 'Arranged Marriage', 'Political', 'Royalty']",0
A Dating Sim of Life or Death (Light Novel),27934,7,"['Drama', 'Ecchi', 'Light Novels', 'Mystery', 'Psychological', 'Supernatural', 'Based on a Web Novel']",0
A Deceiving Bride and The Fierce Lion (Novel),83161,8,"['Fantasy', 'Light Novels', 'Romance', 'Arranged Marriage', 'Impersonation', 'Marriage of Convenience', 'Mature Romance', 'Royalty']",0
A Diary of Our Leisurely VRMMO Playthrough (Light Novel),22174,11,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Light Novels', 'Slice of Life', 'Game Elements', 'MMORPG', 'Siblings', 'Virtual Reality', 'Based on a Web Novel']",0
Aerial City (Light Novel),43916,4,"['Fantasy', 'Light Novels', 'England', 'Europe']",0
Aesthetica of a Rogue Hero (Light Novel),14829,15,"['Action', 'Ecchi', 'Fantasy', 'Light Novels', 'Contemporary Fantasy', 'Demons', 'Hiatus', 'Magic', 'Magic School', 'Overpowered Main Characters', 'Person in a Strange World', 'School Life', 'Summoned Into Another World', 'Urban Fantasy', 'Adapted to Anime']",0
